N0_7muVerMo,SubjVertMo,QGVertMotion,CombVerMo,AreaMeso_ALS,SatContMoist,RaoContMoist,CombMoisture,AreaMoDryAir,VISCloudCov,IRCloudCover,CombClouds,CldShadeOth,AMInstabMt,InsInMt,WndHodograph,OutflowFrMt,MorningBound,Boundaries,CldShadeConv,CompPlFcst,CapChange,LoLevMoistAd,InsChange,MountainFcst,Date,Scenario,ScenRelAMCIN,MorningCIN,AMCINInScen,CapInScen,ScenRelAMIns,LIfr12ZDENSd,AMDewptCalPl,AMInsWliScen,InsSclInScen,ScenRel3_4,LatestCIN,LLIW,CurPropConv,ScnRelPlFcst,PlainsFcst,N34StarFcst,R5Fcst,Dewpoints,LowLLapse,MeanRH,MidLLapse,MvmtFeatures,RHRatio,SfcWndShfDis,SynForcng,TempDis,WindAloft,WindFieldMt,WindFieldPln
WeakUp,Neutral,Down,Neutral,,Wet,Wet,Neutral,,PC,PC,PC,PC,,,DCVZFavor,,Strong,,,IncCapDecIns,Increasing,StrongPos,Increasing,XNIL,Aug20_Sep15,A,AB,,LessThanAve,MoreThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,MoreUnstable,ACEFK,PartInhibit,Unfavorable,,A,SVR,,SVR,,Stable,VeryMoist,Steep,MarkedUpper,Other,DenvCyclone,NegToPos,QStationary,SWQuad,Westerly,DenvCyclone
WeakUp,StronUp,Down,WeakUp,WeakUp,Neutral,Neutral,Neutral,Wet,Clear,PC,Clear,,,,Westerly,,,Weak,Some,DecCapIncIns,Decreasing,Negative,Decreasing,XNIL,Aug20_Sep15,I,CThruK,PartInhibit,MoreThanAve,Average,ABI,N1GtLIGt_4,Neutral,MoreUnstable,,HI,Stifling,Weak,,I,SVR,SVR,SVR,LowSHighN,Stable,Average,Steep,NoMajor,Other,MovingFtorOt,PosToNeg,Moving,SWQuad,Westerly,E_NE
WeakUp,WeakUp,Neutral,Neutral,,Dry,Dry,VeryWet,VeryWet,Clear,Cloudy,Cloudy,Cloudy,,,Other,,,,,IncCapDecIns,Increasing,,Increasing,XNIL,May15_Jun14,B,AB,PartInhibit,,MoreThanAve,ABI,N1GtLIGt_4,,LessUnstable,Average,B,Stifling,Weak,,B,SIG,SIG,SIG,Other,ModerateOrLe,Average,Steep,,DryMMoistL,E_W_N,LittleChange,,NWQuad,Westerly,SEQuad
Down,StronUp,Down,Down,Down,Dry,Neutral,VeryWet,Wet,Cloudy,,PC,Clear,Weak,Strong,DCVZFavor,Weak,,,Marked,LittleChange,LittleChange,Neutral,LittleChange,,May15_Jun14,H,CThruK,PartInhibit,Average,Average,H,N5GtLIGt_8,Neutral,Average,Average,HI,PartInhibit,Unfavorable,,H,XNIL,,SIG,LowMtsHighPl,Stable,VeryMoist,Steep,MarkedUpper,DryMMoistL,MovingFtorOt,LittleChange,,AllElse,Westerly,E_NE
Down,Neutral,Neutral,Neutral,Neutral,Dry,Dry,VeryWet,Wet,Clear,,Clear,Clear,Strong,Strong,StrongWest,Strong,Weak,Strong,Marked,LittleChange,LittleChange,Neutral,Decreasing,SIG,,C,CThruK,Stifling,Average,Average,CDEJ,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,ACEFK,Stifling,Strong,Slight,,SIG,SIG,SIG,LowEvrywhere,CloseToDryAd,Dry,Steep,NoMajor,Other,E_W_S,PosToNeg,Other,NWQuad,Westerly,LongAnticyc
,WeakUp,Down,WeakUp,WeakUp,Neutral,Dry,Neutral,Neutral,PC,PC,PC,PC,,,DCVZFavor,,,Weak,,LittleChange,LittleChange,Negative,LittleChange,XNIL,May15_Jun14,F,CThruK,,LessThanAve,LessThanAve,F,N1GtLIGt_4,Stability,Average,Average,ACEFK,PartInhibit,Unfavorable,Slight,F,XNIL,,XNIL,HighEvrywher,Steep,VeryMoist,ModerateOrLe,NoMajor,,,PosToNeg,,AllElse,LVorOther,LV
StrongUp,Neutral,Neutral,Neutral,Neutral,Neutral,,Wet,,Clear,Cloudy,PC,Cloudy,Strong,Strong,DCVZFavor,Weak,Strong,Strong,Some,DecCapIncIns,Decreasing,WeakPos,LittleChange,SVR,,C,CThruK,,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Stability,Average,LessUnstable,ACEFK,,Weak,Slight,C,XNIL,SVR,SVR,LowNHighS,CloseToDryAd,Average,CloseToDryAd,MarkedUpper,Other,E_W_S,SigPositive,,NWQuad,LVorOther,LongAnticyc
Neutral,Down,Neutral,Neutral,Neutral,Wet,,Wet,Wet,Cloudy,Cloudy,Cloudy,PC,Weak,Weak,Other,,Weak,,,IncCapDecIns,Increasing,,LittleChange,,May15_Jun14,E,CThruK,PartInhibit,Average,Average,CDEJ,N1GtLIGt_4,Stability,Average,MoreUnstable,ACEFK,PartInhibit,Strong,Moderate,E,SIG,SIG,SIG,LowNHighS,Stable,Average,ModerateOrLe,OtherRapid,MoistMDryL,,LittleChange,QStationary,SWQuad,LVorOther,LV
Neutral,Neutral,Neutral,Neutral,Neutral,Dry,VeryWet,,VeryWet,PC,Cloudy,Cloudy,Cloudy,,,Other,,,Weak,,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Aug20_Sep15,C,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,Average,ACEFK,TotalInhibit,Moderate,Slight,,XNIL,,XNIL,LowEvrywhere,CloseToDryAd,Dry,Steep,,DryMMoistL,E_W_N,SigPositive,Other,AllElse,LVorOther,WidespdDnsl
WeakUp,Neutral,,Neutral,Neutral,Neutral,VeryWet,Neutral,Neutral,Clear,PC,Clear,Clear,Strong,Strong,DCVZFavor,Strong,Weak,Strong,,IncCapDecIns,Increasing,Neutral,Increasing,SVR,Jul16_Aug10,H,CThruK,PartInhibit,Average,MoreThanAve,H,N1GtLIGt_4,Instability,Average,MoreUnstable,HI,Stifling,Moderate,,H,XNIL,XNIL,SVR,Other,Stable,VeryMoist,CloseToDryAd,MarkedUpper,DryMMoistL,E_W_N,NegToPos,Moving,NWQuad,LVorOther,E_NE
Neutral,,Neutral,Neutral,Neutral,Neutral,,Wet,Wet,PC,,PC,,,,Westerly,,,,,,Decreasing,Neutral,Decreasing,XNIL,Jul2_Jul15,D,CThruK,PartInhibit,,LessThanAve,CDEJ,N1GtLIGt_4,Neutral,LessUnstable,LessUnstable,D,TotalInhibit,Moderate,,D,XNIL,SIG,SIG,Other,,Dry,ModerateOrLe,StrongFront,Other,,NegToPos,,SWQuad,LVorOther,LongAnticyc
Down,Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Dry,Dry,Clear,PC,Clear,Clear,,Strong,Westerly,Weak,Weak,Strong,Some,LittleChange,LittleChange,Negative,Decreasing,SIG,,J,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,LILt_8,Stability,Average,LessUnstable,GJ,PartInhibit,Unfavorable,,J,XNIL,XNIL,SIG,LowAtStation,CloseToDryAd,Dry,ModerateOrLe,NoMajor,,,LittleChange,,LV,LVorOther,LV
WeakUp,Neutral,Neutral,WeakUp,WeakUp,VeryWet,VeryWet,VeryWet,VeryWet,PC,Cloudy,Clear,PC,Weak,Strong,Other,,,,Some,LittleChange,LittleChange,WeakPos,Increasing,SIG,Jul16_Aug10,B,AB,,LessThanAve,LessThanAve,ABI,LIGt0,Neutral,LessUnstable,MoreUnstable,B,PartInhibit,Moderate,Moderate,,SIG,,SIG,LowMtsHighPl,ModerateOrLe,VeryMoist,Steep,OtherRapid,MoistMDryL,DenvCyclone,LittleChange,Other,,LVorOther,DenvCyclone
StrongUp,Neutral,Down,Neutral,Neutral,Dry,Dry,Neutral,Neutral,Clear,Cloudy,Clear,Clear,,Weak,StrongWest,Weak,Weak,Weak,Some,IncCapDecIns,,Negative,Decreasing,XNIL,Jul16_Aug10,G,CThruK,,Average,MoreThanAve,G,N1GtLIGt_4,Neutral,Average,Average,GJ,,Strong,Strong,G,SIG,SIG,SIG,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,OtherRapid,MoistMDryL,E_W_S,SigNegative,QStationary,AllElse,Westerly,LongAnticyc
WeakUp,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Neutral,Wet,Clear,Clear,Clear,Clear,,,StrongWest,,,,,DecCapIncIns,Decreasing,Neutral,Decreasing,XNIL,May15_Jun14,K,CThruK,PartInhibit,Average,LessThanAve,K,,Stability,Average,Average,,PartInhibit,Moderate,Strong,K,SIG,SIG,SIG,Other,Steep,VeryMoist,ModerateOrLe,StrongFront,DryMMoistL,DenvCyclone,SigPositive,,NWQuad,LVorOther,WidespdDnsl
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,VeryWet,Wet,Wet,Clear,PC,Clear,Clear,Weak,Strong,Westerly,Weak,,Weak,Some,IncCapDecIns,Increasing,Neutral,,SVR,Aug20_Sep15,G,CThruK,PartInhibit,Average,MoreThanAve,G,N5GtLIGt_8,Stability,Average,LessUnstable,GJ,TotalInhibit,Weak,,G,XNIL,XNIL,SVR,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,,Other,,,,NWQuad,LVorOther,WidespdDnsl
StrongUp,WeakUp,WeakUp,WeakUp,WeakUp,VeryWet,Dry,Wet,Wet,PC,PC,PC,PC,Weak,Strong,DCVZFavor,Weak,Weak,Strong,Marked,IncCapDecIns,Increasing,Negative,LittleChange,SIG,Aug20_Sep15,J,CThruK,PartInhibit,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,Average,MoreUnstable,GJ,PartInhibit,Moderate,,J,XNIL,XNIL,SIG,LowAtStation,Stable,Dry,Steep,NoMajor,DryMMoistL,E_W_S,LittleChange,,LV,LVorOther,LV
StrongUp,Neutral,WeakUp,WeakUp,WeakUp,Neutral,Dry,Neutral,Wet,Clear,PC,Clear,Clear,,Weak,StrongWest,Strong,,Strong,,DecCapIncIns,Decreasing,,Increasing,XNIL,Jun15_Jul1,J,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,GJ,,Weak,Slight,J,XNIL,XNIL,XNIL,Other,ModerateOrLe,Dry,ModerateOrLe,OtherRapid,MoistMDryL,DryLine,SigNegative,Other,,LVorOther,LV
Down,WeakUp,StrongUp,Neutral,Neutral,Neutral,Dry,Neutral,Neutral,PC,Cloudy,Cloudy,Cloudy,Strong,Strong,Westerly,Strong,Weak,Strong,Some,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Jul16_Aug10,G,CThruK,TotalInhibit,MoreThanAve,MoreThanAve,G,N1GtLIGt_4,Instability,Average,MoreUnstable,GJ,,Moderate,Strong,G,SIG,SIG,SIG,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,OtherRapid,MoistMDryL,,LittleChange,QStationary,SWQuad,LVorOther,WidespdDnsl
Down,WeakUp,StrongUp,Neutral,Neutral,VeryWet,Neutral,Wet,Wet,PC,PC,Cloudy,Cloudy,Weak,Strong,DCVZFavor,,,Weak,Some,,Increasing,,LittleChange,,May15_Jun14,H,CThruK,,,MoreThanAve,H,N5GtLIGt_8,Stability,LessUnstable,LessUnstable,HI,PartInhibit,Weak,Slight,H,XNIL,XNIL,SIG,LowMtsHighPl,Stable,Average,ModerateOrLe,MarkedUpper,DryMMoistL,MovingFtorOt,SigPositive,Moving,NWQuad,LVorOther,DenvCyclone
WeakUp,WeakUp,WeakUp,WeakUp,,Neutral,VeryWet,Neutral,Neutral,Clear,,Clear,Clear,Strong,Strong,DCVZFavor,Weak,Weak,Weak,Marked,LittleChange,LittleChange,WeakPos,Decreasing,XNIL,May15_Jun14,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N5GtLIGt_8,Instability,Average,LessUnstable,B,,Unfavorable,,B,XNIL,XNIL,XNIL,LowMtsHighPl,Steep,VeryMoist,Steep,NoMajor,DryMMoistL,E_W_N,LittleChange,,NWQuad,LVorOther,DenvCyclone
Down,Down,,Down,Down,VeryWet,Dry,Neutral,Neutral,PC,Cloudy,,,Weak,Strong,Other,,Weak,Weak,,IncCapDecIns,Increasing,Negative,LittleChange,SIG,,E,CThruK,PartInhibit,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,Average,Average,ACEFK,,Strong,Moderate,E,XNIL,XNIL,SIG,LowAtStation,Steep,Dry,Steep,NoMajor,MoistMDryL,DryLine,,QStationary,SWQuad,LVorOther,LongAnticyc
StrongUp,WeakUp,Neutral,WeakUp,WeakUp,Neutral,Dry,Dry,Dry,PC,PC,PC,Clear,Strong,Strong,Westerly,Strong,Strong,Strong,Some,DecCapIncIns,Decreasing,WeakPos,LittleChange,XNIL,Aug20_Sep15,K,CThruK,,Average,Average,K,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,ACEFK,,Weak,Slight,K,XNIL,XNIL,XNIL,LowEvrywhere,Steep,,ModerateOrLe,StrongFront,DryMMoistL,MovingFtorOt,LittleChange,Other,AllElse,Westerly,LongAnticyc
Neutral,Neutral,StrongUp,WeakUp,WeakUp,Neutral,Neutral,Neutral,Neutral,PC,PC,PC,Cloudy,Strong,Strong,Other,,,Weak,,LittleChange,LittleChange,StrongPos,Increasing,XNIL,Jul16_Aug10,J,CThruK,PartInhibit,Average,Average,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,,GJ,,Moderate,Strong,J,SIG,SIG,SIG,,ModerateOrLe,Average,Steep,NoMajor,,,LittleChange,Other,LV,LVorOther,DenvCyclone
Down,Neutral,Neutral,Neutral,Neutral,Dry,Wet,Neutral,Neutral,Clear,PC,PC,PC,,Weak,DCVZFavor,Weak,Weak,Weak,,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Jun15_Jul1,G,CThruK,,MoreThanAve,MoreThanAve,G,N5GtLIGt_8,Stability,MoreUnstable,MoreUnstable,GJ,,Moderate,Moderate,G,SIG,SIG,SIG,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,MarkedUpper,MoistMDryL,E_W_S,SigPositive,,LV,LVorOther,
WeakUp,Neutral,WeakUp,WeakUp,WeakUp,Neutral,Dry,Dry,Dry,Clear,PC,Clear,Clear,,,StrongWest,,Strong,Strong,,DecCapIncIns,Decreasing,StrongPos,Increasing,XNIL,Aug20_Sep15,B,AB,PartInhibit,MoreThanAve,Average,ABI,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,B,PartInhibit,Weak,,B,,SVR,SVR,,Stable,VeryMoist,Steep,NoMajor,Other,DenvCyclone,PosToNeg,Other,NWQuad,LVorOther,E_NE
WeakUp,WeakUp,Neutral,WeakUp,WeakUp,Wet,Neutral,Wet,VeryWet,Clear,PC,Clear,PC,Strong,Strong,Westerly,Weak,Weak,Weak,Some,DecCapIncIns,Decreasing,Neutral,LittleChange,SVR,,K,CThruK,,,LessThanAve,K,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Unfavorable,,K,XNIL,XNIL,SVR,Other,Steep,Average,ModerateOrLe,StrongFront,DryMMoistL,MovingFtorOt,SigPositive,QStationary,AllElse,Westerly,WidespdDnsl
Neutral,StronUp,WeakUp,WeakUp,WeakUp,Neutral,,Neutral,Wet,PC,Clear,PC,,Strong,Strong,StrongWest,Strong,,Weak,Marked,LittleChange,LittleChange,Neutral,Increasing,SIG,Aug20_Sep15,G,CThruK,PartInhibit,MoreThanAve,MoreThanAve,G,LILt_8,Stability,MoreUnstable,MoreUnstable,GJ,PartInhibit,Weak,,G,XNIL,XNIL,SIG,LowEvrywhere,CloseToDryAd,Average,CloseToDryAd,MarkedUpper,MoistMDryL,DryLine,PosToNeg,,AllElse,Westerly,WidespdDnsl
Neutral,WeakUp,StrongUp,WeakUp,WeakUp,Wet,Wet,Dry,,Clear,PC,Clear,Clear,Strong,Strong,Westerly,Strong,,Strong,,DecCapIncIns,Decreasing,WeakPos,LittleChange,XNIL,Jul16_Aug10,,AB,Stifling,MoreThanAve,LessThanAve,ABI,N5GtLIGt_8,,MoreUnstable,MoreUnstable,B,PartInhibit,Weak,,B,SIG,SIG,SIG,LowSHighN,Stable,Average,Steep,NoMajor,DryMMoistL,E_W_N,LittleChange,Moving,NWQuad,Westerly,DenvCyclone
WeakUp,Neutral,StrongUp,StrongUp,StrongUp,Wet,VeryWet,Wet,VeryWet,Clear,PC,PC,Cloudy,,,Westerly,,Weak,Weak,,LittleChange,LittleChange,Negative,LittleChange,XNIL,Jul16_Aug10,E,CThruK,PartInhibit,LessThanAve,LessThanAve,CDEJ,LIGt0,Stability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Moderate,Strong,E,XNIL,XNIL,XNIL,LowMtsHighPl,Steep,Average,ModerateOrLe,OtherRapid,MoistMDryL,E_W_S,SigNegative,,AllElse,Westerly,LV
,Neutral,Down,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Clear,PC,Clear,Clear,,Strong,StrongWest,Strong,Weak,Weak,Some,LittleChange,LittleChange,Negative,Decreasing,XNIL,Aug20_Sep15,A,,,LessThanAve,LessThanAve,ABI,LIGt0,Stability,LessUnstable,LessUnstable,ACEFK,,Moderate,Strong,A,SVR,SVR,SVR,HighEvrywher,Stable,Average,CloseToDryAd,StrongFront,DryMMoistL,DenvCyclone,LittleChange,QStationary,SWQuad,LVorOther,DenvCyclone
WeakUp,WeakUp,WeakUp,WeakUp,WeakUp,VeryWet,Neutral,Wet,VeryWet,PC,Clear,Clear,PC,,Strong,StrongWest,Strong,Weak,Strong,Marked,,LittleChange,Negative,Decreasing,XNIL,Jun15_Jul1,G,CThruK,PartInhibit,Average,Average,G,N5GtLIGt_8,Neutral,Average,LessUnstable,GJ,,Moderate,Moderate,G,SIG,SIG,SIG,LowEvrywhere,CloseToDryAd,Dry,CloseToDryAd,StrongFront,Other,E_W_N,SigNegative,,NWQuad,LVorOther,
StrongUp,Down,WeakUp,WeakUp,WeakUp,Dry,Neutral,VeryWet,Wet,Clear,PC,Clear,Clear,,Strong,DCVZFavor,Weak,Strong,Weak,Marked,IncCapDecIns,Increasing,WeakPos,Increasing,SIG,Aug20_Sep15,B,AB,PartInhibit,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,B,TotalInhibit,Weak,,,XNIL,XNIL,SIG,HighEvrywher,Steep,Dry,ModerateOrLe,OtherRapid,DryMMoistL,DenvCyclone,SigNegative,,AllElse,LVorOther,DenvCyclone
Down,StronUp,StrongUp,Neutral,Neutral,Neutral,Wet,Wet,Wet,Clear,Clear,Clear,Clear,Strong,Strong,DCVZFavor,Strong,,Strong,Some,IncCapDecIns,Increasing,Negative,Decreasing,SVR,May15_Jun14,K,,PartInhibit,LessThanAve,LessThanAve,,N1GtLIGt_4,Neutral,LessUnstable,,ACEFK,PartInhibit,Moderate,Strong,K,SVR,SVR,SVR,Other,ModerateOrLe,VeryMoist,ModerateOrLe,MarkedUpper,,,SigPositive,,AllElse,Westerly,SEQuad
Down,WeakUp,Neutral,WeakUp,WeakUp,Dry,Dry,VeryWet,VeryWet,PC,Clear,Clear,,,,Westerly,,,,,DecCapIncIns,Decreasing,Neutral,LittleChange,XNIL,Jul16_Aug10,D,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N5GtLIGt_8,Neutral,Average,Average,D,,Moderate,Strong,D,,SIG,SIG,LowMtsHighPl,Steep,Dry,Steep,MarkedUpper,MoistMDryL,DryLine,PosToNeg,,NWQuad,LVorOther,DenvCyclone
StrongUp,Neutral,WeakUp,WeakUp,WeakUp,Dry,Neutral,Dry,Neutral,,PC,PC,PC,Strong,Strong,StrongWest,,,Strong,Marked,LittleChange,LittleChange,WeakPos,Increasing,SIG,May15_Jun14,K,CThruK,PartInhibit,Average,Average,K,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,,Strong,Strong,K,SVR,SVR,SVR,Other,Steep,VeryMoist,ModerateOrLe,MarkedUpper,DryMMoistL,DryLine,SigNegative,Moving,AllElse,LVorOther,WidespdDnsl
Neutral,Neutral,Neutral,Neutral,Neutral,Dry,Dry,Wet,Wet,PC,Clear,Cloudy,Cloudy,Strong,Strong,Westerly,Strong,,Weak,Some,IncCapDecIns,,WeakPos,Increasing,SIG,Jul16_Aug10,E,CThruK,,Average,MoreThanAve,CDEJ,N1GtLIGt_4,Neutral,Average,MoreUnstable,ACEFK,PartInhibit,Weak,Slight,E,XNIL,XNIL,SIG,LowEvrywhere,Steep,Average,CloseToDryAd,NoMajor,,,NegToPos,Moving,SWQuad,,LV
StrongUp,StronUp,WeakUp,,StrongUp,Dry,Dry,,Wet,PC,PC,Clear,PC,,Weak,DCVZFavor,Weak,Weak,Strong,Some,LittleChange,LittleChange,Neutral,LittleChange,XNIL,May15_Jun14,I,CThruK,PartInhibit,Average,,ABI,LILt_8,Stability,Average,MoreUnstable,,,Unfavorable,,I,SIG,SIG,SIG,LowMtsHighPl,Steep,Average,CloseToDryAd,NoMajor,DryMMoistL,E_W_N,LittleChange,Moving,SWQuad,Westerly,E_NE
Neutral,StronUp,Neutral,StrongUp,StrongUp,VeryWet,Neutral,VeryWet,VeryWet,Clear,PC,Clear,Clear,,Weak,,,,,,DecCapIncIns,Decreasing,Negative,Decreasing,SIG,Aug20_Sep15,B,AB,PartInhibit,,LessThanAve,ABI,N5GtLIGt_8,Instability,MoreUnstable,Average,B,PartInhibit,Moderate,Slight,B,XNIL,XNIL,SIG,,Steep,VeryMoist,Steep,NoMajor,Other,E_W_S,LittleChange,Other,LV,LVorOther,SEQuad
StrongUp,Neutral,Neutral,Neutral,Neutral,Dry,Wet,Neutral,Neutral,Clear,Clear,Clear,Clear,,Weak,StrongWest,Strong,Weak,Weak,Some,LittleChange,LittleChange,WeakPos,Increasing,XNIL,Jul16_Aug10,F,CThruK,,LessThanAve,LessThanAve,F,N1GtLIGt_4,Neutral,Average,MoreUnstable,ACEFK,,Weak,Strong,F,XNIL,XNIL,XNIL,HighEvrywher,Steep,VeryMoist,ModerateOrLe,NoMajor,Other,E_W_N,SigNegative,,AllElse,,LV
Down,Neutral,WeakUp,Down,Down,Neutral,Neutral,Wet,Wet,Clear,Clear,Clear,Clear,Weak,Strong,StrongWest,,Weak,Weak,Marked,IncCapDecIns,Increasing,WeakPos,Decreasing,SIG,Jul2_Jul15,B,AB,,LessThanAve,LessThanAve,ABI,N1GtLIGt_4,Instability,MoreUnstable,MoreUnstable,B,,Unfavorable,,B,XNIL,XNIL,SIG,HighEvrywher,ModerateOrLe,Dry,CloseToDryAd,MarkedUpper,MoistMDryL,DenvCyclone,PosToNeg,Other,SWQuad,LVorOther,SEQuad
WeakUp,Neutral,Down,,Neutral,VeryWet,Wet,VeryWet,VeryWet,,Clear,PC,PC,Strong,Strong,Other,,,,,DecCapIncIns,Decreasing,WeakPos,LittleChange,XNIL,Aug20_Sep15,J,CThruK,Stifling,MoreThanAve,LessThanAve,CDEJ,N5GtLIGt_8,,Average,Average,GJ,,Strong,Moderate,J,SVR,SVR,SVR,LowAtStation,Steep,Average,ModerateOrLe,NoMajor,DryMMoistL,DryLine,LittleChange,QStationary,LV,LVorOther,DenvCyclone
StrongUp,WeakUp,Down,Down,Down,VeryWet,Wet,VeryWet,VeryWet,,Cloudy,Cloudy,Cloudy,Strong,Strong,Westerly,Strong,,Weak,Some,IncCapDecIns,Increasing,StrongPos,LittleChange,SIG,Aug20_Sep15,K,CThruK,,LessThanAve,LessThanAve,K,N1GtLIGt_4,Neutral,MoreUnstable,MoreUnstable,ACEFK,,Moderate,,K,SVR,SVR,SVR,HighEvrywher,Stable,Dry,ModerateOrLe,StrongFront,Other,MovingFtorOt,SigNegative,QStationary,,Westerly,WidespdDnsl
WeakUp,WeakUp,Neutral,WeakUp,WeakUp,Neutral,Dry,Dry,Dry,Cloudy,PC,Cloudy,PC,Weak,Weak,Westerly,Weak,Weak,,,IncCapDecIns,Increasing,Negative,Decreasing,SIG,Aug20_Sep15,C,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N1GtLIGt_4,Stability,LessUnstable,LessUnstable,ACEFK,,Moderate,Moderate,C,XNIL,XNIL,SIG,LowEvrywhere,Stable,Dry,CloseToDryAd,NoMajor,MoistMDryL,E_W_N,PosToNeg,,LV,LVorOther,LongAnticyc
Neutral,StronUp,Neutral,StrongUp,,Wet,Neutral,Neutral,Wet,PC,,PC,PC,Weak,Strong,StrongWest,Strong,Strong,Strong,,LittleChange,LittleChange,StrongPos,Increasing,SIG,Aug20_Sep15,A,AB,PartInhibit,Average,Average,ABI,LIGt0,Instability,LessUnstable,LessUnstable,ACEFK,PartInhibit,Moderate,,A,XNIL,XNIL,SIG,LowSHighN,ModerateOrLe,VeryMoist,Steep,StrongFront,DryMMoistL,Other,PosToNeg,Other,SWQuad,Westerly,E_NE
Down,Neutral,Neutral,Neutral,Neutral,VeryWet,,VeryWet,VeryWet,Clear,Clear,Clear,PC,Weak,Weak,StrongWest,Weak,,Weak,Some,IncCapDecIns,Increasing,Negative,Increasing,SIG,May15_Jun14,K,CThruK,PartInhibit,Average,MoreThanAve,K,N1GtLIGt_4,Stability,Average,MoreUnstable,ACEFK,PartInhibit,Weak,,K,XNIL,XNIL,SIG,Other,ModerateOrLe,Average,CloseToDryAd,StrongFront,Other,MovingFtorOt,SigPositive,,NWQuad,Westerly,
Neutral,Neutral,WeakUp,WeakUp,WeakUp,Dry,Dry,Dry,Neutral,Cloudy,PC,Cloudy,Cloudy,Strong,,Westerly,Strong,Weak,Weak,Marked,DecCapIncIns,Decreasing,Negative,Decreasing,SVR,May15_Jun14,E,CThruK,PartInhibit,Average,LessThanAve,CDEJ,N1GtLIGt_4,Instability,MoreUnstable,LessUnstable,ACEFK,,Moderate,Strong,E,XNIL,XNIL,SVR,LowAtStation,Steep,Dry,ModerateOrLe,NoMajor,,MovingFtorOt,SigNegative,Moving,SWQuad,LVorOther,LV
Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Wet,Wet,Clear,Clear,Clear,Clear,,Weak,Westerly,,,Weak,Some,LittleChange,LittleChange,Neutral,LittleChange,XNIL,May15_Jun14,C,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,N5GtLIGt_8,Instability,MoreUnstable,MoreUnstable,ACEFK,PartInhibit,Moderate,Slight,C,,XNIL,XNIL,LowAtStation,Steep,Dry,Steep,NoMajor,MoistMDryL,E_W_N,NegToPos,,AllElse,LVorOther,WidespdDnsl
Down,WeakUp,Neutral,Down,Down,VeryWet,Dry,Neutral,Dry,PC,PC,PC,PC,Strong,Strong,DCVZFavor,,,Strong,Some,LittleChange,LittleChange,Neutral,LittleChange,XNIL,Jul16_Aug10,E,CThruK,Stifling,MoreThanAve,MoreThanAve,CDEJ,LILt_8,Stability,Average,Average,ACEFK,,Weak,Strong,E,SVR,SVR,SVR,LowSHighN,ModerateOrLe,Average,Steep,OtherRapid,MoistMDryL,,SigPositive,,SWQuad,Westerly,LV
Neutral,Neutral,StrongUp,WeakUp,,Neutral,Dry,Neutral,,Clear,PC,Clear,Clear,Strong,Strong,DCVZFavor,Weak,Strong,Weak,Some,DecCapIncIns,Decreasing,,LittleChange,SVR,Aug11_Aug20,J,,PartInhibit,LessThanAve,LessThanAve,CDEJ,N5GtLIGt_8,Stability,MoreUnstable,,,,Weak,Slight,J,XNIL,XNIL,SVR,LowAtStation,Steep,Dry,CloseToDryAd,NoMajor,DryMMoistL,DryLine,SigNegative,Other,LV,LVorOther,LV
